,params,mean_train_score,mean_test_score,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_random_state
334,"{'learning_rate_init': 0.0005, 'max_iter': 70, 'random_state': 4, 'hidden_layer_sizes': 20}",0.4139560474139468,0.33,20,0.0005,70,4
581,"{'learning_rate_init': 0.0005, 'max_iter': 70, 'random_state': 1, 'hidden_layer_sizes': 30}",0.9860599128654434,0.6,30,0.0005,70,1
832,"{'learning_rate_init': 0.0005, 'max_iter': 70, 'random_state': 2, 'hidden_layer_sizes': 40}",0.9949826829348467,0.606,40,0.0005,70,2
1081,"{'learning_rate_init': 0.0005, 'max_iter': 70, 'random_state': 1, 'hidden_layer_sizes': 50}",0.998995983935743,0.614,50,0.0005,70,1
1331,"{'learning_rate_init': 0.0005, 'max_iter': 70, 'random_state': 1, 'hidden_layer_sizes': 60}",1.0,0.63,60,0.0005,70,1
1583,"{'learning_rate_init': 0.0005, 'max_iter': 70, 'random_state': 3, 'hidden_layer_sizes': 70}",1.0,0.676,70,0.0005,70,3
1830,"{'learning_rate_init': 0.0005, 'max_iter': 70, 'random_state': 0, 'hidden_layer_sizes': 80}",1.0,0.686,80,0.0005,70,0
2080,"{'learning_rate_init': 0.0005, 'max_iter': 70, 'random_state': 0, 'hidden_layer_sizes': 90}",1.0,0.694,90,0.0005,70,0
2333,"{'learning_rate_init': 0.0005, 'max_iter': 70, 'random_state': 3, 'hidden_layer_sizes': 100}",1.0,0.716,100,0.0005,70,3
86,"{'learning_rate_init': 0.0005, 'max_iter': 80, 'random_state': 1, 'hidden_layer_sizes': 10}",0.20996826737863986,0.178,10,0.0005,80,1
339,"{'learning_rate_init': 0.0005, 'max_iter': 80, 'random_state': 4, 'hidden_layer_sizes': 20}",0.42399951136270725,0.326,20,0.0005,80,4
586,"{'learning_rate_init': 0.0005, 'max_iter': 80, 'random_state': 1, 'hidden_layer_sizes': 30}",0.9930135434113659,0.602,30,0.0005,80,1
837,"{'learning_rate_init': 0.0005, 'max_iter': 80, 'random_state': 2, 'hidden_layer_sizes': 40}",0.9959897322802646,0.606,40,0.0005,80,2
1089,"{'learning_rate_init': 0.0005, 'max_iter': 80, 'random_state': 4, 'hidden_layer_sizes': 50}",1.0,0.614,50,0.0005,80,4
1336,"{'learning_rate_init': 0.0005, 'max_iter': 80, 'random_state': 1, 'hidden_layer_sizes': 60}",1.0,0.632,60,0.0005,80,1
1588,"{'learning_rate_init': 0.0005, 'max_iter': 80, 'random_state': 3, 'hidden_layer_sizes': 70}",1.0,0.676,70,0.0005,80,3
1835,"{'learning_rate_init': 0.0005, 'max_iter': 80, 'random_state': 0, 'hidden_layer_sizes': 80}",1.0,0.686,80,0.0005,80,0
2085,"{'learning_rate_init': 0.0005, 'max_iter': 80, 'random_state': 0, 'hidden_layer_sizes': 90}",1.0,0.692,90,0.0005,80,0
2338,"{'learning_rate_init': 0.0005, 'max_iter': 80, 'random_state': 3, 'hidden_layer_sizes': 100}",1.0,0.716,100,0.0005,80,3
91,"{'learning_rate_init': 0.0005, 'max_iter': 90, 'random_state': 1, 'hidden_layer_sizes': 10}",0.21396060543643913,0.18,10,0.0005,90,1
344,"{'learning_rate_init': 0.0005, 'max_iter': 90, 'random_state': 4, 'hidden_layer_sizes': 20}",0.43298820354256273,0.336,20,0.0005,90,4
591,"{'learning_rate_init': 0.0005, 'max_iter': 90, 'random_state': 1, 'hidden_layer_sizes': 30}",0.9950215755398798,0.602,30,0.0005,90,1
842,"{'learning_rate_init': 0.0005, 'max_iter': 90, 'random_state': 2, 'hidden_layer_sizes': 40}",0.9959897322802646,0.608,40,0.0005,90,2
1091,"{'learning_rate_init': 0.0005, 'max_iter': 90, 'random_state': 1, 'hidden_layer_sizes': 50}",1.0,0.616,50,0.0005,90,1
1344,"{'learning_rate_init': 0.0005, 'max_iter': 90, 'random_state': 4, 'hidden_layer_sizes': 60}",1.0,0.63,60,0.0005,90,4
1593,"{'learning_rate_init': 0.0005, 'max_iter': 90, 'random_state': 3, 'hidden_layer_sizes': 70}",1.0,0.676,70,0.0005,90,3
1840,"{'learning_rate_init': 0.0005, 'max_iter': 90, 'random_state': 0, 'hidden_layer_sizes': 80}",1.0,0.684,80,0.0005,90,0
2090,"{'learning_rate_init': 0.0005, 'max_iter': 90, 'random_state': 0, 'hidden_layer_sizes': 90}",1.0,0.692,90,0.0005,90,0
2343,"{'learning_rate_init': 0.0005, 'max_iter': 90, 'random_state': 3, 'hidden_layer_sizes': 100}",1.0,0.716,100,0.0005,90,3
96,"{'learning_rate_init': 0.0005, 'max_iter': 100, 'random_state': 1, 'hidden_layer_sizes': 10}",0.21396060543643913,0.182,10,0.0005,100,1
349,"{'learning_rate_init': 0.0005, 'max_iter': 100, 'random_state': 4, 'hidden_layer_sizes': 20}",0.4369595786572649,0.338,20,0.0005,100,4
596,"{'learning_rate_init': 0.0005, 'max_iter': 100, 'random_state': 1, 'hidden_layer_sizes': 30}",0.9960106952233616,0.602,30,0.0005,100,1
847,"{'learning_rate_init': 0.0005, 'max_iter': 100, 'random_state': 2, 'hidden_layer_sizes': 40}",0.9959897322802646,0.614,40,0.0005,100,2
1096,"{'learning_rate_init': 0.0005, 'max_iter': 100, 'random_state': 1, 'hidden_layer_sizes': 50}",1.0,0.614,50,0.0005,100,1
1349,"{'learning_rate_init': 0.0005, 'max_iter': 100, 'random_state': 4, 'hidden_layer_sizes': 60}",1.0,0.634,60,0.0005,100,4
1598,"{'learning_rate_init': 0.0005, 'max_iter': 100, 'random_state': 3, 'hidden_layer_sizes': 70}",1.0,0.678,70,0.0005,100,3
1845,"{'learning_rate_init': 0.0005, 'max_iter': 100, 'random_state': 0, 'hidden_layer_sizes': 80}",1.0,0.682,80,0.0005,100,0
2095,"{'learning_rate_init': 0.0005, 'max_iter': 100, 'random_state': 0, 'hidden_layer_sizes': 90}",1.0,0.692,90,0.0005,100,0
2348,"{'learning_rate_init': 0.0005, 'max_iter': 100, 'random_state': 3, 'hidden_layer_sizes': 100}",1.0,0.716,100,0.0005,100,3
102,"{'learning_rate_init': 0.001, 'max_iter': 10, 'random_state': 2, 'hidden_layer_sizes': 10}",0.14497704121190402,0.142,10,0.001,10,2
353,"{'learning_rate_init': 0.001, 'max_iter': 10, 'random_state': 3, 'hidden_layer_sizes': 20}",0.3169171256822137,0.27,20,0.001,10,3
601,"{'learning_rate_init': 0.001, 'max_iter': 10, 'random_state': 1, 'hidden_layer_sizes': 30}",0.6412444132271509,0.52,30,0.001,10,1
851,"{'learning_rate_init': 0.001, 'max_iter': 10, 'random_state': 1, 'hidden_layer_sizes': 40}",0.712985977096189,0.54,40,0.001,10,1
1104,"{'learning_rate_init': 0.001, 'max_iter': 10, 'random_state': 4, 'hidden_layer_sizes': 50}",0.8160001296840207,0.61,50,0.001,10,4
1354,"{'learning_rate_init': 0.001, 'max_iter': 10, 'random_state': 4, 'hidden_layer_sizes': 60}",0.8339052553459285,0.632,60,0.001,10,4
1600,"{'learning_rate_init': 0.001, 'max_iter': 10, 'random_state': 0, 'hidden_layer_sizes': 70}",0.911945927091874,0.68,70,0.001,10,0
1853,"{'learning_rate_init': 0.001, 'max_iter': 10, 'random_state': 3, 'hidden_layer_sizes': 80}",0.9060410017525343,0.684,80,0.001,10,3
2101,"{'learning_rate_init': 0.001, 'max_iter': 10, 'random_state': 1, 'hidden_layer_sizes': 90}",0.9531533216876938,0.712,90,0.001,10,1
2351,"{'learning_rate_init': 0.001, 'max_iter': 10, 'random_state': 1, 'hidden_layer_sizes': 100}",0.9580420978381329,0.72,100,0.001,10,1
107,"{'learning_rate_init': 0.001, 'max_iter': 20, 'random_state': 2, 'hidden_layer_sizes': 10}",0.1399627574279115,0.134,10,0.001,20,2
359,"{'learning_rate_init': 0.001, 'max_iter': 20, 'random_state': 4, 'hidden_layer_sizes': 20}",0.2928135934776066,0.242,20,0.001,20,4
606,"{'learning_rate_init': 0.001, 'max_iter': 20, 'random_state': 1, 'hidden_layer_sizes': 30}",0.8721273612293672,0.62,30,0.001,20,1
856,"{'learning_rate_init': 0.001, 'max_iter': 20, 'random_state': 1, 'hidden_layer_sizes': 40}",0.9199510261005113,0.632,40,0.001,20,1
1109,"{'learning_rate_init': 0.001, 'max_iter': 20, 'random_state': 4, 'hidden_layer_sizes': 50}",0.9860152237231175,0.664,50,0.001,20,4
1358,"{'learning_rate_init': 0.001, 'max_iter': 20, 'random_state': 3, 'hidden_layer_sizes': 60}",0.9700668344350175,0.684,60,0.001,20,3
1608,"{'learning_rate_init': 0.001, 'max_iter': 20, 'random_state': 3, 'hidden_layer_sizes': 70}",0.9890391350155029,0.71,70,0.001,20,3
1855,"{'learning_rate_init': 0.001, 'max_iter': 20, 'random_state': 0, 'hidden_layer_sizes': 80}",0.9839801620891843,0.736,80,0.001,20,0
2106,"{'learning_rate_init': 0.001, 'max_iter': 20, 'random_state': 1, 'hidden_layer_sizes': 90}",1.0,0.732,90,0.001,20,1
2358,"{'learning_rate_init': 0.001, 'max_iter': 20, 'random_state': 3, 'hidden_layer_sizes': 100}",0.998992950654582,0.75,100,0.001,20,3
111,"{'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 1, 'hidden_layer_sizes': 10}",0.1681088433449073,0.148,10,0.001,30,1
362,"{'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 2, 'hidden_layer_sizes': 20}",0.35823432145572437,0.272,20,0.001,30,2
611,"{'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 1, 'hidden_layer_sizes': 30}",0.9571037338592988,0.642,30,0.001,30,1
861,"{'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 1, 'hidden_layer_sizes': 40}",0.9809648105902232,0.636,40,0.001,30,1
1114,"{'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 4, 'hidden_layer_sizes': 50}",0.9979919678714859,0.676,50,0.001,30,4
1364,"{'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 4, 'hidden_layer_sizes': 60}",1.0,0.696,60,0.001,30,4
1614,"{'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 4, 'hidden_layer_sizes': 70}",1.0,0.72,70,0.001,30,4
1860,"{'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 0, 'hidden_layer_sizes': 80}",1.0,0.752,80,0.001,30,0
2111,"{'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 1, 'hidden_layer_sizes': 90}",1.0,0.73,90,0.001,30,1
2363,"{'learning_rate_init': 0.001, 'max_iter': 30, 'random_state': 3, 'hidden_layer_sizes': 100}",1.0,0.746,100,0.001,30,3
116,"{'learning_rate_init': 0.001, 'max_iter': 40, 'random_state': 1, 'hidden_layer_sizes': 10}",0.17414203957393218,0.156,10,0.001,40,1
367,"{'learning_rate_init': 0.001, 'max_iter': 40, 'random_state': 2, 'hidden_layer_sizes': 20}",0.38226256168136735,0.312,20,0.001,40,2
616,"{'learning_rate_init': 0.001, 'max_iter': 40, 'random_state': 1, 'hidden_layer_sizes': 30}",0.9870639289297003,0.65,30,0.001,40,1
866,"{'learning_rate_init': 0.001, 'max_iter': 40, 'random_state': 1, 'hidden_layer_sizes': 40}",0.9950036458779437,0.652,40,0.001,40,1
1119,"{'learning_rate_init': 0.001, 'max_iter': 40, 'random_state': 4, 'hidden_layer_sizes': 50}",1.0,0.674,50,0.001,40,4
1369,"{'learning_rate_init': 0.001, 'max_iter': 40, 'random_state': 4, 'hidden_layer_sizes': 60}",1.0,0.694,60,0.001,40,4
1619,"{'learning_rate_init': 0.001, 'max_iter': 40, 'random_state': 4, 'hidden_layer_sizes': 70}",1.0,0.72,70,0.001,40,4
1865,"{'learning_rate_init': 0.001, 'max_iter': 40, 'random_state': 0, 'hidden_layer_sizes': 80}",1.0,0.76,80,0.001,40,0
2116,"{'learning_rate_init': 0.001, 'max_iter': 40, 'random_state': 1, 'hidden_layer_sizes': 90}",1.0,0.73,90,0.001,40,1
2368,"{'learning_rate_init': 0.001, 'max_iter': 40, 'random_state': 3, 'hidden_layer_sizes': 100}",1.0,0.748,100,0.001,40,3
121,"{'learning_rate_init': 0.001, 'max_iter': 50, 'random_state': 1, 'hidden_layer_sizes': 10}",0.17816720367444297,0.16,10,0.001,50,1
372,"{'learning_rate_init': 0.001, 'max_iter': 50, 'random_state': 2, 'hidden_layer_sizes': 20}",0.39028282709580914,0.324,20,0.001,50,2
621,"{'learning_rate_init': 0.001, 'max_iter': 50, 'random_state': 1, 'hidden_layer_sizes': 30}",0.9930433361729166,0.656,30,0.001,50,1
871,"{'learning_rate_init': 0.001, 'max_iter': 50, 'random_state': 1, 'hidden_layer_sizes': 40}",0.998995983935743,0.656,40,0.001,50,1
1124,"{'learning_rate_init': 0.001, 'max_iter': 50, 'random_state': 4, 'hidden_layer_sizes': 50}",1.0,0.676,50,0.001,50,4
1374,"{'learning_rate_init': 0.001, 'max_iter': 50, 'random_state': 4, 'hidden_layer_sizes': 60}",1.0,0.694,60,0.001,50,4
1624,"{'learning_rate_init': 0.001, 'max_iter': 50, 'random_state': 4, 'hidden_layer_sizes': 70}",1.0,0.72,70,0.001,50,4
1870,"{'learning_rate_init': 0.001, 'max_iter': 50, 'random_state': 0, 'hidden_layer_sizes': 80}",1.0,0.76,80,0.001,50,0
2121,"{'learning_rate_init': 0.001, 'max_iter': 50, 'random_state': 1, 'hidden_layer_sizes': 90}",1.0,0.73,90,0.001,50,1
2373,"{'learning_rate_init': 0.001, 'max_iter': 50, 'random_state': 3, 'hidden_layer_sizes': 100}",1.0,0.746,100,0.001,50,3
128,"{'learning_rate_init': 0.001, 'max_iter': 60, 'random_state': 3, 'hidden_layer_sizes': 10}",0.195935228628212,0.166,10,0.001,60,3
377,"{'learning_rate_init': 0.001, 'max_iter': 60, 'random_state': 2, 'hidden_layer_sizes': 20}",0.4003050580764432,0.336,20,0.001,60,2
626,"{'learning_rate_init': 0.001, 'max_iter': 60, 'random_state': 1, 'hidden_layer_sizes': 30}",0.9940324558563982,0.658,30,0.001,60,1
876,"{'learning_rate_init': 0.001, 'max_iter': 60, 'random_state': 1, 'hidden_layer_sizes': 40}",0.998995983935743,0.66,40,0.001,60,1
1129,"{'learning_rate_init': 0.001, 'max_iter': 60, 'random_state': 4, 'hidden_layer_sizes': 50}",1.0,0.676,50,0.001,60,4
1378,"{'learning_rate_init': 0.001, 'max_iter': 60, 'random_state': 3, 'hidden_layer_sizes': 60}",1.0,0.694,60,0.001,60,3
1629,"{'learning_rate_init': 0.001, 'max_iter': 60, 'random_state': 4, 'hidden_layer_sizes': 70}",1.0,0.72,70,0.001,60,4
1875,"{'learning_rate_init': 0.001, 'max_iter': 60, 'random_state': 0, 'hidden_layer_sizes': 80}",1.0,0.76,80,0.001,60,0
2126,"{'learning_rate_init': 0.001, 'max_iter': 60, 'random_state': 1, 'hidden_layer_sizes': 90}",1.0,0.73,90,0.001,60,1
2378,"{'learning_rate_init': 0.001, 'max_iter': 60, 'random_state': 3, 'hidden_layer_sizes': 100}",1.0,0.746,100,0.001,60,3
133,"{'learning_rate_init': 0.001, 'max_iter': 70, 'random_state': 3, 'hidden_layer_sizes': 10}",0.1939123001189226,0.174,10,0.001,70,3
382,"{'learning_rate_init': 0.001, 'max_iter': 70, 'random_state': 2, 'hidden_layer_sizes': 20}",0.46316550773724324,0.374,20,0.001,70,2
631,"{'learning_rate_init': 0.001, 'max_iter': 70, 'random_state': 1, 'hidden_layer_sizes': 30}",0.9940324558563982,0.654,30,0.001,70,1
881,"{'learning_rate_init': 0.001, 'max_iter': 70, 'random_state': 1, 'hidden_layer_sizes': 40}",0.998995983935743,0.658,40,0.001,70,1
1134,"{'learning_rate_init': 0.001, 'max_iter': 70, 'random_state': 4, 'hidden_layer_sizes': 50}",1.0,0.676,50,0.001,70,4
1383,"{'learning_rate_init': 0.001, 'max_iter': 70, 'random_state': 3, 'hidden_layer_sizes': 60}",1.0,0.694,60,0.001,70,3
1634,"{'learning_rate_init': 0.001, 'max_iter': 70, 'random_state': 4, 'hidden_layer_sizes': 70}",1.0,0.72,70,0.001,70,4
1880,"{'learning_rate_init': 0.001, 'max_iter': 70, 'random_state': 0, 'hidden_layer_sizes': 80}",1.0,0.758,80,0.001,70,0
2131,"{'learning_rate_init': 0.001, 'max_iter': 70, 'random_state': 1, 'hidden_layer_sizes': 90}",1.0,0.73,90,0.001,70,1
2383,"{'learning_rate_init': 0.001, 'max_iter': 70, 'random_state': 3, 'hidden_layer_sizes': 100}",1.0,0.746,100,0.001,70,3
138,"{'learning_rate_init': 0.001, 'max_iter': 80, 'random_state': 3, 'hidden_layer_sizes': 10}",0.1988727949171065,0.176,10,0.001,80,3
387,"{'learning_rate_init': 0.001, 'max_iter': 80, 'random_state': 2, 'hidden_layer_sizes': 20}",0.4731253899386442,0.374,20,0.001,80,2
636,"{'learning_rate_init': 0.001, 'max_iter': 80, 'random_state': 1, 'hidden_layer_sizes': 30}",0.9940324558563982,0.658,30,0.001,80,1
886,"{'learning_rate_init': 0.001, 'max_iter': 80, 'random_state': 1, 'hidden_layer_sizes': 40}",0.998995983935743,0.658,40,0.001,80,1
1139,"{'learning_rate_init': 0.001, 'max_iter': 80, 'random_state': 4, 'hidden_layer_sizes': 50}",1.0,0.676,50,0.001,80,4
1388,"{'learning_rate_init': 0.001, 'max_iter': 80, 'random_state': 3, 'hidden_layer_sizes': 60}",1.0,0.694,60,0.001,80,3
1639,"{'learning_rate_init': 0.001, 'max_iter': 80, 'random_state': 4, 'hidden_layer_sizes': 70}",1.0,0.72,70,0.001,80,4
1885,"{'learning_rate_init': 0.001, 'max_iter': 80, 'random_state': 0, 'hidden_layer_sizes': 80}",1.0,0.758,80,0.001,80,0
2136,"{'learning_rate_init': 0.001, 'max_iter': 80, 'random_state': 1, 'hidden_layer_sizes': 90}",1.0,0.73,90,0.001,80,1
2388,"{'learning_rate_init': 0.001, 'max_iter': 80, 'random_state': 3, 'hidden_layer_sizes': 100}",1.0,0.746,100,0.001,80,3
143,"{'learning_rate_init': 0.001, 'max_iter': 90, 'random_state': 3, 'hidden_layer_sizes': 10}",0.2038928752383916,0.178,10,0.001,90,3
392,"{'learning_rate_init': 0.001, 'max_iter': 90, 'random_state': 2, 'hidden_layer_sizes': 20}",0.4861839353613366,0.38,20,0.001,90,2
641,"{'learning_rate_init': 0.001, 'max_iter': 90, 'random_state': 1, 'hidden_layer_sizes': 30}",0.9940324558563982,0.656,30,0.001,90,1
892,"{'learning_rate_init': 0.001, 'max_iter': 90, 'random_state': 2, 'hidden_layer_sizes': 40}",0.9929716175251716,0.662,40,0.001,90,2
1144,"{'learning_rate_init': 0.001, 'max_iter': 90, 'random_state': 4, 'hidden_layer_sizes': 50}",1.0,0.676,50,0.001,90,4
1393,"{'learning_rate_init': 0.001, 'max_iter': 90, 'random_state': 3, 'hidden_layer_sizes': 60}",1.0,0.694,60,0.001,90,3
1644,"{'learning_rate_init': 0.001, 'max_iter': 90, 'random_state': 4, 'hidden_layer_sizes': 70}",1.0,0.72,70,0.001,90,4
1890,"{'learning_rate_init': 0.001, 'max_iter': 90, 'random_state': 0, 'hidden_layer_sizes': 80}",1.0,0.758,80,0.001,90,0
2141,"{'learning_rate_init': 0.001, 'max_iter': 90, 'random_state': 1, 'hidden_layer_sizes': 90}",1.0,0.73,90,0.001,90,1
2393,"{'learning_rate_init': 0.001, 'max_iter': 90, 'random_state': 3, 'hidden_layer_sizes': 100}",1.0,0.746,100,0.001,90,3
148,"{'learning_rate_init': 0.001, 'max_iter': 100, 'random_state': 3, 'hidden_layer_sizes': 10}",0.20489689130264863,0.182,10,0.001,100,3
397,"{'learning_rate_init': 0.001, 'max_iter': 100, 'random_state': 2, 'hidden_layer_sizes': 20}",0.4981968088586068,0.394,20,0.001,100,2
646,"{'learning_rate_init': 0.001, 'max_iter': 100, 'random_state': 1, 'hidden_layer_sizes': 30}",0.9950215755398798,0.652,30,0.001,100,1
897,"{'learning_rate_init': 0.001, 'max_iter': 100, 'random_state': 2, 'hidden_layer_sizes': 40}",0.9949677865540713,0.66,40,0.001,100,2
1149,"{'learning_rate_init': 0.001, 'max_iter': 100, 'random_state': 4, 'hidden_layer_sizes': 50}",1.0,0.676,50,0.001,100,4
1398,"{'learning_rate_init': 0.001, 'max_iter': 100, 'random_state': 3, 'hidden_layer_sizes': 60}",1.0,0.694,60,0.001,100,3
1649,"{'learning_rate_init': 0.001, 'max_iter': 100, 'random_state': 4, 'hidden_layer_sizes': 70}",1.0,0.72,70,0.001,100,4
1895,"{'learning_rate_init': 0.001, 'max_iter': 100, 'random_state': 0, 'hidden_layer_sizes': 80}",1.0,0.758,80,0.001,100,0
2146,"{'learning_rate_init': 0.001, 'max_iter': 100, 'random_state': 1, 'hidden_layer_sizes': 90}",1.0,0.73,90,0.001,100,1
2398,"{'learning_rate_init': 0.001, 'max_iter': 100, 'random_state': 3, 'hidden_layer_sizes': 100}",1.0,0.746,100,0.001,100,3
153,"{'learning_rate_init': 0.005, 'max_iter': 10, 'random_state': 3, 'hidden_layer_sizes': 10}",0.1400940615987577,0.138,10,0.005,10,3
402,"{'learning_rate_init': 0.005, 'max_iter': 10, 'random_state': 2, 'hidden_layer_sizes': 20}",0.23021352895242564,0.22,20,0.005,10,2
652,"{'learning_rate_init': 0.005, 'max_iter': 10, 'random_state': 2, 'hidden_layer_sizes': 30}",0.554486757486525,0.476,30,0.005,10,2
900,"{'learning_rate_init': 0.005, 'max_iter': 10, 'random_state': 0, 'hidden_layer_sizes': 40}",0.7232338769945263,0.56,40,0.005,10,0
1151,"{'learning_rate_init': 0.005, 'max_iter': 10, 'random_state': 1, 'hidden_layer_sizes': 50}",0.9259966254792089,0.69,50,0.005,10,1
1404,"{'learning_rate_init': 0.005, 'max_iter': 10, 'random_state': 4, 'hidden_layer_sizes': 60}",0.8598786388707942,0.688,60,0.005,10,4
1650,"{'learning_rate_init': 0.005, 'max_iter': 10, 'random_state': 0, 'hidden_layer_sizes': 70}",0.9529682285310389,0.758,70,0.005,10,0
1903,"{'learning_rate_init': 0.005, 'max_iter': 10, 'random_state': 3, 'hidden_layer_sizes': 80}",0.9158425502776703,0.736,80,0.005,10,3
2152,"{'learning_rate_init': 0.005, 'max_iter': 10, 'random_state': 2, 'hidden_layer_sizes': 90}",0.9260829704826999,0.752,90,0.005,10,2
2404,"{'learning_rate_init': 0.005, 'max_iter': 10, 'random_state': 4, 'hidden_layer_sizes': 100}",0.9541871305135016,0.766,100,0.005,10,4
158,"{'learning_rate_init': 0.005, 'max_iter': 20, 'random_state': 3, 'hidden_layer_sizes': 10}",0.151138238305585,0.15,10,0.005,20,3
407,"{'learning_rate_init': 0.005, 'max_iter': 20, 'random_state': 2, 'hidden_layer_sizes': 20}",0.29557163812628123,0.288,20,0.005,20,2
657,"{'learning_rate_init': 0.005, 'max_iter': 20, 'random_state': 2, 'hidden_layer_sizes': 30}",0.6103226680287449,0.504,30,0.005,20,2
905,"{'learning_rate_init': 0.005, 'max_iter': 20, 'random_state': 0, 'hidden_layer_sizes': 40}",0.8289544634471259,0.608,40,0.005,20,0
1156,"{'learning_rate_init': 0.005, 'max_iter': 20, 'random_state': 1, 'hidden_layer_sizes': 50}",0.9839713322707307,0.724,50,0.005,20,1
1409,"{'learning_rate_init': 0.005, 'max_iter': 20, 'random_state': 4, 'hidden_layer_sizes': 60}",0.9749197512615839,0.702,60,0.005,20,4
1655,"{'learning_rate_init': 0.005, 'max_iter': 20, 'random_state': 0, 'hidden_layer_sizes': 70}",0.998992950654582,0.756,70,0.005,20,0
1908,"{'learning_rate_init': 0.005, 'max_iter': 20, 'random_state': 3, 'hidden_layer_sizes': 80}",1.0,0.754,80,0.005,20,3
2157,"{'learning_rate_init': 0.005, 'max_iter': 20, 'random_state': 2, 'hidden_layer_sizes': 90}",0.9960435212660732,0.776,90,0.005,20,2
2409,"{'learning_rate_init': 0.005, 'max_iter': 20, 'random_state': 4, 'hidden_layer_sizes': 100}",1.0,0.776,100,0.005,20,4
163,"{'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 3, 'hidden_layer_sizes': 10}",0.15214225436984205,0.15,10,0.005,30,3
412,"{'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 2, 'hidden_layer_sizes': 20}",0.3176569582587749,0.3,20,0.005,30,2
662,"{'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 2, 'hidden_layer_sizes': 30}",0.6522151881302182,0.558,30,0.005,30,2
910,"{'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 0, 'hidden_layer_sizes': 40}",0.8548867311608848,0.646,40,0.005,30,0
1161,"{'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 1, 'hidden_layer_sizes': 50}",0.9849604519542124,0.73,50,0.005,30,1
1410,"{'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 0, 'hidden_layer_sizes': 60}",0.9660419403595357,0.708,60,0.005,30,0
1662,"{'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 2, 'hidden_layer_sizes': 70}",0.9969788519637461,0.762,70,0.005,30,2
1913,"{'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 3, 'hidden_layer_sizes': 80}",1.0,0.764,80,0.005,30,3
2160,"{'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 0, 'hidden_layer_sizes': 90}",1.0,0.776,90,0.005,30,0
2414,"{'learning_rate_init': 0.005, 'max_iter': 30, 'random_state': 4, 'hidden_layer_sizes': 100}",1.0,0.776,100,0.005,30,4
168,"{'learning_rate_init': 0.005, 'max_iter': 40, 'random_state': 3, 'hidden_layer_sizes': 10}",0.15214225436984205,0.15,10,0.005,40,3
418,"{'learning_rate_init': 0.005, 'max_iter': 40, 'random_state': 3, 'hidden_layer_sizes': 20}",0.3332977800378273,0.308,20,0.005,40,3
