,params,mean_train_score,mean_test_score,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_random_state
667,"{'learning_rate_init': 0.005, 'max_iter': 40, 'random_state': 2, 'hidden_layer_sizes': 30}",0.6672759691441318,0.574,30,0.005,40,2
915,"{'learning_rate_init': 0.005, 'max_iter': 40, 'random_state': 0, 'hidden_layer_sizes': 40}",0.864957224615064,0.66,40,0.005,40,0
1166,"{'learning_rate_init': 0.005, 'max_iter': 40, 'random_state': 1, 'hidden_layer_sizes': 50}",0.9859644680184695,0.736,50,0.005,40,1
1415,"{'learning_rate_init': 0.005, 'max_iter': 40, 'random_state': 0, 'hidden_layer_sizes': 60}",0.9730761193716568,0.704,60,0.005,40,0
1665,"{'learning_rate_init': 0.005, 'max_iter': 40, 'random_state': 0, 'hidden_layer_sizes': 70}",1.0,0.756,70,0.005,40,0
1918,"{'learning_rate_init': 0.005, 'max_iter': 40, 'random_state': 3, 'hidden_layer_sizes': 80}",1.0,0.764,80,0.005,40,3
2165,"{'learning_rate_init': 0.005, 'max_iter': 40, 'random_state': 0, 'hidden_layer_sizes': 90}",1.0,0.776,90,0.005,40,0
2419,"{'learning_rate_init': 0.005, 'max_iter': 40, 'random_state': 4, 'hidden_layer_sizes': 100}",1.0,0.776,100,0.005,40,4
173,"{'learning_rate_init': 0.005, 'max_iter': 50, 'random_state': 3, 'hidden_layer_sizes': 10}",0.15214225436984205,0.15,10,0.005,50,3
423,"{'learning_rate_init': 0.005, 'max_iter': 50, 'random_state': 3, 'hidden_layer_sizes': 20}",0.346368188560134,0.31,20,0.005,50,3
672,"{'learning_rate_init': 0.005, 'max_iter': 50, 'random_state': 2, 'hidden_layer_sizes': 30}",0.6783355822817928,0.588,30,0.005,50,2
920,"{'learning_rate_init': 0.005, 'max_iter': 50, 'random_state': 0, 'hidden_layer_sizes': 40}",0.8980613120991411,0.69,40,0.005,50,0
1171,"{'learning_rate_init': 0.005, 'max_iter': 50, 'random_state': 1, 'hidden_layer_sizes': 50}",0.9869715173638874,0.738,50,0.005,50,1
1420,"{'learning_rate_init': 0.005, 'max_iter': 50, 'random_state': 0, 'hidden_layer_sizes': 60}",0.9740801354359138,0.714,60,0.005,50,0
1672,"{'learning_rate_init': 0.005, 'max_iter': 50, 'random_state': 2, 'hidden_layer_sizes': 70}",0.9979859013091641,0.764,70,0.005,50,2
1923,"{'learning_rate_init': 0.005, 'max_iter': 50, 'random_state': 3, 'hidden_layer_sizes': 80}",1.0,0.764,80,0.005,50,3
2170,"{'learning_rate_init': 0.005, 'max_iter': 50, 'random_state': 0, 'hidden_layer_sizes': 90}",1.0,0.776,90,0.005,50,0
2424,"{'learning_rate_init': 0.005, 'max_iter': 50, 'random_state': 4, 'hidden_layer_sizes': 100}",1.0,0.776,100,0.005,50,4
178,"{'learning_rate_init': 0.005, 'max_iter': 60, 'random_state': 3, 'hidden_layer_sizes': 10}",0.15214225436984205,0.15,10,0.005,60,3
428,"{'learning_rate_init': 0.005, 'max_iter': 60, 'random_state': 3, 'hidden_layer_sizes': 20}",0.3564386820143133,0.308,20,0.005,60,3
677,"{'learning_rate_init': 0.005, 'max_iter': 60, 'random_state': 2, 'hidden_layer_sizes': 30}",0.6883164274262911,0.5960000000000001,30,0.005,60,2
925,"{'learning_rate_init': 0.005, 'max_iter': 60, 'random_state': 0, 'hidden_layer_sizes': 40}",0.9040078932996457,0.694,40,0.005,60,0
1176,"{'learning_rate_init': 0.005, 'max_iter': 60, 'random_state': 1, 'hidden_layer_sizes': 50}",0.9879755334281445,0.74,50,0.005,60,1
1425,"{'learning_rate_init': 0.005, 'max_iter': 60, 'random_state': 0, 'hidden_layer_sizes': 60}",0.9760912008455888,0.714,60,0.005,60,0
1677,"{'learning_rate_init': 0.005, 'max_iter': 60, 'random_state': 2, 'hidden_layer_sizes': 70}",0.9979859013091641,0.762,70,0.005,60,2
1928,"{'learning_rate_init': 0.005, 'max_iter': 60, 'random_state': 3, 'hidden_layer_sizes': 80}",1.0,0.764,80,0.005,60,3
2175,"{'learning_rate_init': 0.005, 'max_iter': 60, 'random_state': 0, 'hidden_layer_sizes': 90}",1.0,0.776,90,0.005,60,0
2429,"{'learning_rate_init': 0.005, 'max_iter': 60, 'random_state': 4, 'hidden_layer_sizes': 100}",1.0,0.776,100,0.005,60,4
183,"{'learning_rate_init': 0.005, 'max_iter': 70, 'random_state': 3, 'hidden_layer_sizes': 10}",0.15214225436984205,0.15,10,0.005,70,3
433,"{'learning_rate_init': 0.005, 'max_iter': 70, 'random_state': 3, 'hidden_layer_sizes': 20}",0.3564386820143133,0.308,20,0.005,70,3
682,"{'learning_rate_init': 0.005, 'max_iter': 70, 'random_state': 2, 'hidden_layer_sizes': 30}",0.6923804841318352,0.594,30,0.005,70,2
930,"{'learning_rate_init': 0.005, 'max_iter': 70, 'random_state': 0, 'hidden_layer_sizes': 40}",0.9060159254281598,0.698,40,0.005,70,0
1181,"{'learning_rate_init': 0.005, 'max_iter': 70, 'random_state': 1, 'hidden_layer_sizes': 50}",0.9909875816209156,0.74,50,0.005,70,1
1430,"{'learning_rate_init': 0.005, 'max_iter': 70, 'random_state': 0, 'hidden_layer_sizes': 60}",0.9770952169098458,0.716,60,0.005,70,0
1682,"{'learning_rate_init': 0.005, 'max_iter': 70, 'random_state': 2, 'hidden_layer_sizes': 70}",0.9979859013091641,0.766,70,0.005,70,2
1931,"{'learning_rate_init': 0.005, 'max_iter': 70, 'random_state': 1, 'hidden_layer_sizes': 80}",1.0,0.764,80,0.005,70,1
2180,"{'learning_rate_init': 0.005, 'max_iter': 70, 'random_state': 0, 'hidden_layer_sizes': 90}",1.0,0.774,90,0.005,70,0
2434,"{'learning_rate_init': 0.005, 'max_iter': 70, 'random_state': 4, 'hidden_layer_sizes': 100}",1.0,0.776,100,0.005,70,4
188,"{'learning_rate_init': 0.005, 'max_iter': 80, 'random_state': 3, 'hidden_layer_sizes': 10}",0.15214225436984205,0.15,10,0.005,80,3
438,"{'learning_rate_init': 0.005, 'max_iter': 80, 'random_state': 3, 'hidden_layer_sizes': 20}",0.3554316326688953,0.304,20,0.005,80,3
687,"{'learning_rate_init': 0.005, 'max_iter': 80, 'random_state': 2, 'hidden_layer_sizes': 30}",0.6983689912185341,0.592,30,0.005,80,2
935,"{'learning_rate_init': 0.005, 'max_iter': 80, 'random_state': 0, 'hidden_layer_sizes': 40}",0.9120612547818282,0.698,40,0.005,80,0
1186,"{'learning_rate_init': 0.005, 'max_iter': 80, 'random_state': 1, 'hidden_layer_sizes': 50}",0.9929807173686545,0.736,50,0.005,80,1
1435,"{'learning_rate_init': 0.005, 'max_iter': 80, 'random_state': 0, 'hidden_layer_sizes': 60}",0.9770952169098458,0.716,60,0.005,80,0
1687,"{'learning_rate_init': 0.005, 'max_iter': 80, 'random_state': 2, 'hidden_layer_sizes': 70}",0.9979859013091641,0.766,70,0.005,80,2
1936,"{'learning_rate_init': 0.005, 'max_iter': 80, 'random_state': 1, 'hidden_layer_sizes': 80}",1.0,0.764,80,0.005,80,1
2185,"{'learning_rate_init': 0.005, 'max_iter': 80, 'random_state': 0, 'hidden_layer_sizes': 90}",1.0,0.774,90,0.005,80,0
2439,"{'learning_rate_init': 0.005, 'max_iter': 80, 'random_state': 4, 'hidden_layer_sizes': 100}",1.0,0.776,100,0.005,80,4
193,"{'learning_rate_init': 0.005, 'max_iter': 90, 'random_state': 3, 'hidden_layer_sizes': 10}",0.15214225436984205,0.15,10,0.005,90,3
443,"{'learning_rate_init': 0.005, 'max_iter': 90, 'random_state': 3, 'hidden_layer_sizes': 20}",0.35744573135973123,0.308,20,0.005,90,3
692,"{'learning_rate_init': 0.005, 'max_iter': 90, 'random_state': 2, 'hidden_layer_sizes': 30}",0.6993939702258882,0.596,30,0.005,90,2
940,"{'learning_rate_init': 0.005, 'max_iter': 90, 'random_state': 0, 'hidden_layer_sizes': 40}",0.9130652708460852,0.696,40,0.005,90,0
1191,"{'learning_rate_init': 0.005, 'max_iter': 90, 'random_state': 1, 'hidden_layer_sizes': 50}",0.9929807173686545,0.736,50,0.005,90,1
1440,"{'learning_rate_init': 0.005, 'max_iter': 90, 'random_state': 0, 'hidden_layer_sizes': 60}",0.9770952169098458,0.716,60,0.005,90,0
1692,"{'learning_rate_init': 0.005, 'max_iter': 90, 'random_state': 2, 'hidden_layer_sizes': 70}",0.9979859013091641,0.766,70,0.005,90,2
1941,"{'learning_rate_init': 0.005, 'max_iter': 90, 'random_state': 1, 'hidden_layer_sizes': 80}",1.0,0.764,80,0.005,90,1
2190,"{'learning_rate_init': 0.005, 'max_iter': 90, 'random_state': 0, 'hidden_layer_sizes': 90}",1.0,0.774,90,0.005,90,0
2444,"{'learning_rate_init': 0.005, 'max_iter': 90, 'random_state': 4, 'hidden_layer_sizes': 100}",1.0,0.776,100,0.005,90,4
198,"{'learning_rate_init': 0.005, 'max_iter': 100, 'random_state': 3, 'hidden_layer_sizes': 10}",0.15214225436984205,0.15,10,0.005,100,3
448,"{'learning_rate_init': 0.005, 'max_iter': 100, 'random_state': 3, 'hidden_layer_sizes': 20}",0.3554316326688953,0.304,20,0.005,100,3
697,"{'learning_rate_init': 0.005, 'max_iter': 100, 'random_state': 2, 'hidden_layer_sizes': 30}",0.7074324353272954,0.598,30,0.005,100,2
945,"{'learning_rate_init': 0.005, 'max_iter': 100, 'random_state': 0, 'hidden_layer_sizes': 40}",0.9191045336374319,0.696,40,0.005,100,0
1196,"{'learning_rate_init': 0.005, 'max_iter': 100, 'random_state': 1, 'hidden_layer_sizes': 50}",0.9929807173686545,0.74,50,0.005,100,1
1445,"{'learning_rate_init': 0.005, 'max_iter': 100, 'random_state': 0, 'hidden_layer_sizes': 60}",0.9770952169098458,0.718,60,0.005,100,0
1697,"{'learning_rate_init': 0.005, 'max_iter': 100, 'random_state': 2, 'hidden_layer_sizes': 70}",0.9979859013091641,0.766,70,0.005,100,2
1946,"{'learning_rate_init': 0.005, 'max_iter': 100, 'random_state': 1, 'hidden_layer_sizes': 80}",1.0,0.764,80,0.005,100,1
2195,"{'learning_rate_init': 0.005, 'max_iter': 100, 'random_state': 0, 'hidden_layer_sizes': 90}",1.0,0.774,90,0.005,100,0
2449,"{'learning_rate_init': 0.005, 'max_iter': 100, 'random_state': 4, 'hidden_layer_sizes': 100}",1.0,0.776,100,0.005,100,4
202,"{'learning_rate_init': 0.01, 'max_iter': 10, 'random_state': 2, 'hidden_layer_sizes': 10}",0.13588987090391383,0.13,10,0.01,10,2
453,"{'learning_rate_init': 0.01, 'max_iter': 10, 'random_state': 3, 'hidden_layer_sizes': 20}",0.23720524202829407,0.204,20,0.01,10,3
702,"{'learning_rate_init': 0.01, 'max_iter': 10, 'random_state': 2, 'hidden_layer_sizes': 30}",0.33397602890607136,0.256,30,0.01,10,2
954,"{'learning_rate_init': 0.01, 'max_iter': 10, 'random_state': 4, 'hidden_layer_sizes': 40}",0.6853295635679063,0.558,40,0.01,10,4
1203,"{'learning_rate_init': 0.01, 'max_iter': 10, 'random_state': 3, 'hidden_layer_sizes': 50}",0.7571118202088387,0.582,50,0.01,10,3
1454,"{'learning_rate_init': 0.01, 'max_iter': 10, 'random_state': 4, 'hidden_layer_sizes': 60}",0.7263624949923857,0.606,60,0.01,10,4
1700,"{'learning_rate_init': 0.01, 'max_iter': 10, 'random_state': 0, 'hidden_layer_sizes': 70}",0.8466465933660322,0.71,70,0.01,10,0
1953,"{'learning_rate_init': 0.01, 'max_iter': 10, 'random_state': 3, 'hidden_layer_sizes': 80}",0.8037698770374423,0.648,80,0.01,10,3
2200,"{'learning_rate_init': 0.01, 'max_iter': 10, 'random_state': 0, 'hidden_layer_sizes': 90}",0.9031095020259619,0.73,90,0.01,10,0
2451,"{'learning_rate_init': 0.01, 'max_iter': 10, 'random_state': 1, 'hidden_layer_sizes': 100}",0.8473306837757404,0.698,100,0.01,10,1
207,"{'learning_rate_init': 0.01, 'max_iter': 20, 'random_state': 2, 'hidden_layer_sizes': 10}",0.13588987090391383,0.13,10,0.01,20,2
458,"{'learning_rate_init': 0.01, 'max_iter': 20, 'random_state': 3, 'hidden_layer_sizes': 20}",0.2512614669278925,0.224,20,0.01,20,3
707,"{'learning_rate_init': 0.01, 'max_iter': 20, 'random_state': 2, 'hidden_layer_sizes': 30}",0.33397602890607136,0.258,30,0.01,20,2
959,"{'learning_rate_init': 0.01, 'max_iter': 20, 'random_state': 4, 'hidden_layer_sizes': 40}",0.7462627995914198,0.58,40,0.01,20,4
1208,"{'learning_rate_init': 0.01, 'max_iter': 20, 'random_state': 3, 'hidden_layer_sizes': 50}",0.8230769996532518,0.65,50,0.01,20,3
1459,"{'learning_rate_init': 0.01, 'max_iter': 20, 'random_state': 4, 'hidden_layer_sizes': 60}",0.7759947425046723,0.602,60,0.01,20,4
1708,"{'learning_rate_init': 0.01, 'max_iter': 20, 'random_state': 3, 'hidden_layer_sizes': 70}",0.9518025754843268,0.742,70,0.01,20,3
1958,"{'learning_rate_init': 0.01, 'max_iter': 20, 'random_state': 3, 'hidden_layer_sizes': 80}",0.9138529878611509,0.682,80,0.01,20,3
2205,"{'learning_rate_init': 0.01, 'max_iter': 20, 'random_state': 0, 'hidden_layer_sizes': 90}",0.9870131732250526,0.748,90,0.01,20,0
2458,"{'learning_rate_init': 0.01, 'max_iter': 20, 'random_state': 3, 'hidden_layer_sizes': 100}",0.9267407964579052,0.712,100,0.01,20,3
212,"{'learning_rate_init': 0.01, 'max_iter': 30, 'random_state': 2, 'hidden_layer_sizes': 10}",0.13588987090391383,0.13,10,0.01,30,2
463,"{'learning_rate_init': 0.01, 'max_iter': 30, 'random_state': 3, 'hidden_layer_sizes': 20}",0.25828957937769165,0.234,20,0.01,30,3
710,"{'learning_rate_init': 0.01, 'max_iter': 30, 'random_state': 0, 'hidden_layer_sizes': 30}",0.3170647393648212,0.266,30,0.01,30,0
964,"{'learning_rate_init': 0.01, 'max_iter': 30, 'random_state': 4, 'hidden_layer_sizes': 40}",0.7821993686238765,0.616,40,0.01,30,4
1213,"{'learning_rate_init': 0.01, 'max_iter': 30, 'random_state': 3, 'hidden_layer_sizes': 50}",0.8431368980453536,0.654,50,0.01,30,3
1464,"{'learning_rate_init': 0.01, 'max_iter': 30, 'random_state': 4, 'hidden_layer_sizes': 60}",0.8723912746920338,0.648,60,0.01,30,4
1713,"{'learning_rate_init': 0.01, 'max_iter': 30, 'random_state': 3, 'hidden_layer_sizes': 70}",0.965799484885853,0.754,70,0.01,30,3
1963,"{'learning_rate_init': 0.01, 'max_iter': 30, 'random_state': 3, 'hidden_layer_sizes': 80}",0.9418407401018816,0.674,80,0.01,30,3
2210,"{'learning_rate_init': 0.01, 'max_iter': 30, 'random_state': 0, 'hidden_layer_sizes': 90}",0.992027457009045,0.752,90,0.01,30,0
2463,"{'learning_rate_init': 0.01, 'max_iter': 30, 'random_state': 3, 'hidden_layer_sizes': 100}",0.9487998971600676,0.738,100,0.01,30,3
217,"{'learning_rate_init': 0.01, 'max_iter': 40, 'random_state': 2, 'hidden_layer_sizes': 10}",0.13588987090391383,0.13,10,0.01,40,2
468,"{'learning_rate_init': 0.01, 'max_iter': 40, 'random_state': 3, 'hidden_layer_sizes': 20}",0.2592935954419487,0.236,20,0.01,40,3
715,"{'learning_rate_init': 0.01, 'max_iter': 40, 'random_state': 0, 'hidden_layer_sizes': 30}",0.31806875542907825,0.272,30,0.01,40,0
969,"{'learning_rate_init': 0.01, 'max_iter': 40, 'random_state': 4, 'hidden_layer_sizes': 40}",0.8020890702400987,0.642,40,0.01,40,4
1218,"{'learning_rate_init': 0.01, 'max_iter': 40, 'random_state': 3, 'hidden_layer_sizes': 50}",0.8521760759048278,0.672,50,0.01,40,3
1469,"{'learning_rate_init': 0.01, 'max_iter': 40, 'random_state': 4, 'hidden_layer_sizes': 60}",0.8954990806007791,0.672,60,0.01,40,4
1718,"{'learning_rate_init': 0.01, 'max_iter': 40, 'random_state': 3, 'hidden_layer_sizes': 70}",0.9698097526055885,0.768,70,0.01,40,3
1968,"{'learning_rate_init': 0.01, 'max_iter': 40, 'random_state': 3, 'hidden_layer_sizes': 80}",0.9558553091403148,0.69,80,0.01,40,3
2215,"{'learning_rate_init': 0.01, 'max_iter': 40, 'random_state': 0, 'hidden_layer_sizes': 90}",0.9950395052018162,0.748,90,0.01,40,0
2468,"{'learning_rate_init': 0.01, 'max_iter': 40, 'random_state': 3, 'hidden_layer_sizes': 100}",0.9558161465102524,0.74,100,0.01,40,3
222,"{'learning_rate_init': 0.01, 'max_iter': 50, 'random_state': 2, 'hidden_layer_sizes': 10}",0.13588987090391383,0.13,10,0.01,50,2
473,"{'learning_rate_init': 0.01, 'max_iter': 50, 'random_state': 3, 'hidden_layer_sizes': 20}",0.2623056436347198,0.24,20,0.01,50,3
720,"{'learning_rate_init': 0.01, 'max_iter': 50, 'random_state': 0, 'hidden_layer_sizes': 30}",0.3200767875575923,0.276,30,0.01,50,0
974,"{'learning_rate_init': 0.01, 'max_iter': 50, 'random_state': 4, 'hidden_layer_sizes': 40}",0.8130140759007234,0.658,40,0.01,50,4
1223,"{'learning_rate_init': 0.01, 'max_iter': 50, 'random_state': 3, 'hidden_layer_sizes': 50}",0.8642455016440383,0.684,50,0.01,50,3
1474,"{'learning_rate_init': 0.01, 'max_iter': 50, 'random_state': 4, 'hidden_layer_sizes': 60}",0.9025423594563827,0.68,60,0.01,50,4
1723,"{'learning_rate_init': 0.01, 'max_iter': 50, 'random_state': 3, 'hidden_layer_sizes': 70}",0.9688027032601706,0.766,70,0.01,50,3
1973,"{'learning_rate_init': 0.01, 'max_iter': 50, 'random_state': 3, 'hidden_layer_sizes': 80}",0.9628894881524358,0.702,80,0.01,50,3
2220,"{'learning_rate_init': 0.01, 'max_iter': 50, 'random_state': 0, 'hidden_layer_sizes': 90}",0.9950395052018162,0.75,90,0.01,50,0
2473,"{'learning_rate_init': 0.01, 'max_iter': 50, 'random_state': 3, 'hidden_layer_sizes': 100}",0.9588281947030234,0.744,100,0.01,50,3
227,"{'learning_rate_init': 0.01, 'max_iter': 60, 'random_state': 2, 'hidden_layer_sizes': 10}",0.13588987090391383,0.13,10,0.01,60,2
478,"{'learning_rate_init': 0.01, 'max_iter': 60, 'random_state': 3, 'hidden_layer_sizes': 20}",0.26832974002026194,0.242,20,0.01,60,3
725,"{'learning_rate_init': 0.01, 'max_iter': 60, 'random_state': 0, 'hidden_layer_sizes': 30}",0.3200767875575923,0.278,30,0.01,60,0
979,"{'learning_rate_init': 0.01, 'max_iter': 60, 'random_state': 4, 'hidden_layer_sizes': 40}",0.8260215955937388,0.642,40,0.01,60,4
1228,"{'learning_rate_init': 0.01, 'max_iter': 60, 'random_state': 3, 'hidden_layer_sizes': 50}",0.8662565670537133,0.686,50,0.01,60,3
1479,"{'learning_rate_init': 0.01, 'max_iter': 60, 'random_state': 4, 'hidden_layer_sizes': 60}",0.9075475433968926,0.692,60,0.01,60,4
1728,"{'learning_rate_init': 0.01, 'max_iter': 60, 'random_state': 3, 'hidden_layer_sizes': 70}",0.9708168019510065,0.766,70,0.01,60,3
1978,"{'learning_rate_init': 0.01, 'max_iter': 60, 'random_state': 3, 'hidden_layer_sizes': 80}",0.9649005535621109,0.702,80,0.01,60,3
2225,"{'learning_rate_init': 0.01, 'max_iter': 60, 'random_state': 0, 'hidden_layer_sizes': 90}",0.997032640949555,0.752,90,0.01,60,0
2478,"{'learning_rate_init': 0.01, 'max_iter': 60, 'random_state': 3, 'hidden_layer_sizes': 100}",0.9608213304507621,0.742,100,0.01,60,3
232,"{'learning_rate_init': 0.01, 'max_iter': 70, 'random_state': 2, 'hidden_layer_sizes': 10}",0.13588987090391383,0.13,10,0.01,70,2
483,"{'learning_rate_init': 0.01, 'max_iter': 70, 'random_state': 3, 'hidden_layer_sizes': 20}",0.270337772148776,0.246,20,0.01,70,3
734,"{'learning_rate_init': 0.01, 'max_iter': 70, 'random_state': 4, 'hidden_layer_sizes': 30}",0.3573717445017414,0.28,30,0.01,70,4
984,"{'learning_rate_init': 0.01, 'max_iter': 70, 'random_state': 4, 'hidden_layer_sizes': 40}",0.8369496345355244,0.658,40,0.01,70,4
1233,"{'learning_rate_init': 0.01, 'max_iter': 70, 'random_state': 3, 'hidden_layer_sizes': 50}",0.8652525509894563,0.682,50,0.01,70,3
1484,"{'learning_rate_init': 0.01, 'max_iter': 70, 'random_state': 4, 'hidden_layer_sizes': 60}",0.9095616420877284,0.702,60,0.01,70,4
1733,"{'learning_rate_init': 0.01, 'max_iter': 70, 'random_state': 3, 'hidden_layer_sizes': 70}",0.9708168019510065,0.766,70,0.01,70,3
1983,"{'learning_rate_init': 0.01, 'max_iter': 70, 'random_state': 3, 'hidden_layer_sizes': 80}",0.9689077880006853,0.702,80,0.01,70,3
2230,"{'learning_rate_init': 0.01, 'max_iter': 70, 'random_state': 0, 'hidden_layer_sizes': 90}",0.997032640949555,0.754,90,0.01,70,0
2483,"{'learning_rate_init': 0.01, 'max_iter': 70, 'random_state': 3, 'hidden_layer_sizes': 100}",0.9608213304507621,0.744,100,0.01,70,3
237,"{'learning_rate_init': 0.01, 'max_iter': 80, 'random_state': 2, 'hidden_layer_sizes': 10}",0.13588987090391383,0.13,10,0.01,80,2
488,"{'learning_rate_init': 0.01, 'max_iter': 80, 'random_state': 3, 'hidden_layer_sizes': 20}",0.27636186853431816,0.25,20,0.01,80,3
735,"{'learning_rate_init': 0.01, 'max_iter': 80, 'random_state': 0, 'hidden_layer_sizes': 30}",0.3200767875575923,0.278,30,0.01,80,0
989,"{'learning_rate_init': 0.01, 'max_iter': 80, 'random_state': 4, 'hidden_layer_sizes': 40}",0.843903265081447,0.674,40,0.01,80,4
1238,"{'learning_rate_init': 0.01, 'max_iter': 80, 'random_state': 3, 'hidden_layer_sizes': 50}",0.869280748371128,0.692,50,0.01,80,3
1489,"{'learning_rate_init': 0.01, 'max_iter': 80, 'random_state': 4, 'hidden_layer_sizes': 60}",0.9175730776837167,0.704,60,0.01,80,4
1738,"{'learning_rate_init': 0.01, 'max_iter': 80, 'random_state': 3, 'hidden_layer_sizes': 70}",0.975852048678096,0.77,70,0.01,80,3
1988,"{'learning_rate_init': 0.01, 'max_iter': 80, 'random_state': 3, 'hidden_layer_sizes': 80}",0.9689077880006853,0.7,80,0.01,80,3
2235,"{'learning_rate_init': 0.01, 'max_iter': 80, 'random_state': 0, 'hidden_layer_sizes': 90}",0.997032640949555,0.754,90,0.01,80,0
2488,"{'learning_rate_init': 0.01, 'max_iter': 80, 'random_state': 3, 'hidden_layer_sizes': 100}",0.9608213304507621,0.742,100,0.01,80,3
242,"{'learning_rate_init': 0.01, 'max_iter': 90, 'random_state': 2, 'hidden_layer_sizes': 10}",0.13588987090391383,0.13,10,0.01,90,2
493,"{'learning_rate_init': 0.01, 'max_iter': 90, 'random_state': 3, 'hidden_layer_sizes': 20}",0.2793739167270893,0.25,20,0.01,90,3
744,"{'learning_rate_init': 0.01, 'max_iter': 90, 'random_state': 4, 'hidden_layer_sizes': 30}",0.358360864185223,0.282,30,0.01,90,4
994,"{'learning_rate_init': 0.01, 'max_iter': 90, 'random_state': 4, 'hidden_layer_sizes': 40}",0.8468855205126674,0.676,40,0.01,90,4
1243,"{'learning_rate_init': 0.01, 'max_iter': 90, 'random_state': 3, 'hidden_layer_sizes': 50}",0.8723018964073818,0.698,50,0.01,90,3
1494,"{'learning_rate_init': 0.01, 'max_iter': 90, 'random_state': 4, 'hidden_layer_sizes': 60}",0.9205942257199705,0.7,60,0.01,90,4
1743,"{'learning_rate_init': 0.01, 'max_iter': 90, 'random_state': 3, 'hidden_layer_sizes': 70}",0.9778661473689318,0.772,70,0.01,90,3
1993,"{'learning_rate_init': 0.01, 'max_iter': 90, 'random_state': 3, 'hidden_layer_sizes': 80}",0.9699148373461033,0.704,80,0.01,90,3
2240,"{'learning_rate_init': 0.01, 'max_iter': 90, 'random_state': 0, 'hidden_layer_sizes': 90}",0.997032640949555,0.756,90,0.01,90,0
2493,"{'learning_rate_init': 0.01, 'max_iter': 90, 'random_state': 3, 'hidden_layer_sizes': 100}",0.9608213304507621,0.748,100,0.01,90,3
247,"{'learning_rate_init': 0.01, 'max_iter': 100, 'random_state': 2, 'hidden_layer_sizes': 10}",0.13588987090391383,0.13,10,0.01,100,2
498,"{'learning_rate_init': 0.01, 'max_iter': 100, 'random_state': 3, 'hidden_layer_sizes': 20}",0.2793739167270893,0.25,20,0.01,100,3
749,"{'learning_rate_init': 0.01, 'max_iter': 100, 'random_state': 4, 'hidden_layer_sizes': 30}",0.358360864185223,0.282,30,0.01,100,4
999,"{'learning_rate_init': 0.01, 'max_iter': 100, 'random_state': 4, 'hidden_layer_sizes': 40}",0.8498677759438878,0.68,40,0.01,100,4
1248,"{'learning_rate_init': 0.01, 'max_iter': 100, 'random_state': 3, 'hidden_layer_sizes': 50}",0.8733089457527997,0.696,50,0.01,100,3
1499,"{'learning_rate_init': 0.01, 'max_iter': 100, 'random_state': 4, 'hidden_layer_sizes': 60}",0.9236153737562242,0.698,60,0.01,100,4
1748,"{'learning_rate_init': 0.01, 'max_iter': 100, 'random_state': 3, 'hidden_layer_sizes': 70}",0.9778661473689318,0.772,70,0.01,100,3
1998,"{'learning_rate_init': 0.01, 'max_iter': 100, 'random_state': 3, 'hidden_layer_sizes': 80}",0.9699148373461033,0.706,80,0.01,100,3
2245,"{'learning_rate_init': 0.01, 'max_iter': 100, 'random_state': 0, 'hidden_layer_sizes': 90}",0.997032640949555,0.756,90,0.01,100,0
2498,"{'learning_rate_init': 0.01, 'max_iter': 100, 'random_state': 3, 'hidden_layer_sizes': 100}",0.9618104501342438,0.744,100,0.01,100,3
